"","Strike","Last","Chg","Bid","Ask","Vol","OI","LastTradeTime","IV","ITM"
"AMC220304P00005000",5,0.01,0,0,0.01,224,1281,2022-02-24 15:07:29,3.750000625,FALSE
"AMC220304P00006000",6,0.01,0,0,0.01,1,377,2022-02-25 14:32:12,3.1250021875,FALSE
"AMC220304P00007000",7,0.01,-0.02,0,0.01,15,277,2022-02-25 10:15:39,2.750003125,FALSE
"AMC220304P00008000",8,0.01,-0.02,0,0.01,166,1506,2022-02-25 15:46:01,2.3750040625,FALSE
"AMC220304P00009000",9,0.02,0,0.01,0.02,288,2271,2022-02-25 15:51:13,2.31250421875,FALSE
"AMC220304P00010000",10,0.02,-0.030000001,0.01,0.02,567,2361,2022-02-25 15:56:40,1.984375078125,FALSE
"AMC220304P00011000",11,0.03,-0.04,0.01,0.02,701,565,2022-02-25 15:59:16,1.6875015625,FALSE
"AMC220304P00011500",11.5,0.04,0.04,0.03,0.04,69,156,2022-02-25 15:56:49,1.75000125,FALSE
"AMC220304P00012000",12,0.05,-0.06,0.05,0.06,538,1188,2022-02-25 15:52:53,1.7421887890625,FALSE
"AMC220304P00012500",12.5,0.08,-0.060000002,0.06,0.07,471,541,2022-02-25 15:13:13,1.640626796875,FALSE
"AMC220304P00013000",13,0.08,-0.09,0.08,0.09,668,1805,2022-02-25 15:58:57,1.5703146484375,FALSE
"AMC220304P00013500",13.5,0.12,-0.089999996,0.11,0.12,859,516,2022-02-25 15:59:55,1.51953365234375,FALSE
"AMC220304P00014000",14,0.16,-0.13,0.15,0.16,2335,3003,2022-02-25 15:58:57,1.46875265625,FALSE
"AMC220304P00014500",14.5,0.22,-0.15,0.21,0.23,1469,494,2022-02-25 15:59:58,1.44922150390625,FALSE
"AMC220304P00015000",15,0.33,-0.13999999,0.3,0.31,2677,3004,2022-02-25 15:59:50,1.4296903515625,FALSE
"AMC220304P00015500",15.5,0.41,-0.20000002,0.4,0.44,2605,2090,2022-02-25 15:59:39,1.42383100585938,FALSE
"AMC220304P00016000",16,0.58,-0.16000003,0.56,0.58,3897,8714,2022-02-25 15:59:30,1.42578412109375,FALSE
"AMC220304P00016500",16.5,0.75,-0.19,0.74,0.75,3354,2071,2022-02-25 15:59:47,1.421877890625,FALSE
"AMC220304P00017000",17,0.95,-0.19999999,0.92,0.97,5924,1915,2022-02-25 15:59:59,1.41015919921875,FALSE
"AMC220304P00017500",17.5,1.2,-0.20999992,1.16,1.2,1184,604,2022-02-25 15:59:50,1.40234673828125,FALSE
"AMC220304P00018000",18,1.48,-0.19999993,1.45,1.51,514,2054,2022-02-25 15:59:47,1.4296903515625,TRUE
"AMC220304P00018500",18.5,1.79,-0.21000004,1.74,1.85,129,403,2022-02-25 15:59:49,1.44336215820313,TRUE
"AMC220304P00019000",19,2.15,-0.2099998,2.1,2.18,1204,1135,2022-02-25 15:52:56,1.4609401953125,TRUE
"AMC220304P00019500",19.5,2.54,-0.16000009,2.46,2.57,126,164,2022-02-25 15:55:43,1.484377578125,TRUE
"AMC220304P00020000",20,2.9,-0.14999986,2.84,2.97,138,488,2022-02-25 15:53:47,1.50390873046875,TRUE
"AMC220304P00020500",20.5,3.35,-1.2000003,3.25,3.35,114,19,2022-02-25 15:30:35,1.50390873046875,TRUE
"AMC220304P00021000",21,3.75,-0.4499998,3.7,3.8,45,57,2022-02-25 15:51:50,1.55859595703125,TRUE
"AMC220304P00021500",21.5,4.67,0.26999998,4.1,4.35,33,8,2022-02-25 14:03:30,1.640626796875,TRUE
